epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13824,2.17098,3.06796,0.90237,0.04467,0.49731,0.19473,0.08157,1.90308,2.74312,0.8331,0.000364161,0.000364161,0.000364161
2,15.6993,1.92731,1.78747,0.84629,0.57958,0.35561,0.26002,0.11602,1.81937,1.84648,0.82864,0.000719951,0.000719951,0.000719951
3,22.2044,1.89378,1.62829,0.83764,0.64515,0.42461,0.31268,0.15097,1.67882,1.48883,0.82326,0.00106108,0.00106108,0.00106108
4,28.647,1.89086,1.58476,0.83825,0.63682,0.49995,0.34089,0.15275,1.71989,1.27703,0.82332,0.00104501,0.00104501,0.00104501
5,35.1766,1.75584,1.46949,0.82831,0.61261,0.52822,0.36632,0.18149,1.57963,1.22848,0.81589,0.00102301,0.00102301,0.00102301
6,41.6863,1.80428,1.43725,0.82838,0.63028,0.52425,0.36791,0.18518,1.56236,1.18711,0.81574,0.00100101,0.00100101,0.00100101
7,48.1089,1.70201,1.37418,0.82423,0.63783,0.55783,0.39608,0.19859,1.49234,1.15762,0.81177,0.000979013,0.000979013,0.000979013
8,54.6281,1.69007,1.32311,0.82658,0.63085,0.56752,0.40187,0.20654,1.50104,1.13821,0.80976,0.000957015,0.000957015,0.000957015
9,61.2147,1.67849,1.29314,0.82011,0.39487,0.57814,0.41294,0.21191,1.49573,1.10948,0.81182,0.000935018,0.000935018,0.000935018
10,67.8515,1.62419,1.25781,0.82111,0.41028,0.58306,0.42664,0.22189,1.48685,1.09537,0.81145,0.00091302,0.00091302,0.00091302
11,74.5323,1.62791,1.25043,0.815,0.40088,0.56553,0.41857,0.20822,1.50769,1.11181,0.81001,0.000891022,0.000891022,0.000891022
12,81.1746,1.62,1.22103,0.81952,0.62482,0.57983,0.41705,0.21083,1.51859,1.11159,0.80992,0.000869024,0.000869024,0.000869024
13,87.7515,1.61082,1.20591,0.81503,0.4187,0.60146,0.43662,0.22704,1.43983,1.08173,0.80594,0.000847026,0.000847026,0.000847026
14,94.2548,1.57221,1.18492,0.81209,0.4379,0.61141,0.44445,0.23737,1.41873,1.06969,0.80628,0.000825029,0.000825029,0.000825029
15,100.711,1.59406,1.17052,0.81272,0.42762,0.6154,0.44675,0.23066,1.44608,1.05561,0.80517,0.000803031,0.000803031,0.000803031
16,107.216,1.55331,1.15357,0.81323,0.41571,0.60576,0.43834,0.22683,1.48244,1.05686,0.80892,0.000781033,0.000781033,0.000781033
17,113.76,1.61458,1.16605,0.81368,0.4042,0.61042,0.45114,0.23775,1.41372,1.06776,0.80502,0.000759035,0.000759035,0.000759035
18,120.62,1.54534,1.13331,0.80919,0.40835,0.61628,0.44714,0.23285,1.44856,1.05949,0.80387,0.000737037,0.000737037,0.000737037
19,127.58,1.54422,1.13157,0.81003,0.43093,0.58675,0.44811,0.22014,1.50862,1.06724,0.80994,0.00071504,0.00071504,0.00071504
20,134.295,1.55904,1.13118,0.80865,0.43545,0.62007,0.45351,0.24164,1.40146,1.02854,0.80422,0.000693042,0.000693042,0.000693042
21,140.916,1.51473,1.10809,0.80959,0.42881,0.60258,0.44294,0.24325,1.38615,1.0269,0.80142,0.000671044,0.000671044,0.000671044
22,147.385,1.51416,1.10468,0.80657,0.40943,0.60071,0.4456,0.24443,1.39197,1.03706,0.80397,0.000649046,0.000649046,0.000649046
23,153.978,1.50646,1.10345,0.80724,0.44798,0.61306,0.45442,0.24468,1.36951,1.019,0.8018,0.000627048,0.000627048,0.000627048
24,160.599,1.48643,1.09358,0.80675,0.43564,0.61842,0.45675,0.24641,1.3703,1.01328,0.80033,0.000605051,0.000605051,0.000605051
25,167.168,1.48439,1.08502,0.80987,0.42367,0.59963,0.44269,0.2148,1.54772,1.05247,0.80544,0.000583053,0.000583053,0.000583053
26,173.553,1.49058,1.08091,0.80447,0.4414,0.61971,0.45985,0.25199,1.38418,1.00733,0.8009,0.000561055,0.000561055,0.000561055
27,179.971,1.47046,1.0724,0.80367,0.41614,0.61625,0.44482,0.23489,1.40876,1.03006,0.80148,0.000539057,0.000539057,0.000539057
28,186.44,1.46974,1.06693,0.8077,0.6854,0.63517,0.46053,0.24671,1.38769,1.01335,0.80078,0.000517059,0.000517059,0.000517059
29,192.96,1.47584,1.07184,0.80472,0.67685,0.62107,0.45492,0.24402,1.38234,1.01795,0.79874,0.000495062,0.000495062,0.000495062
30,199.674,1.43891,1.05922,0.80577,0.69253,0.62574,0.45745,0.25584,1.33726,1.00233,0.79906,0.000473064,0.000473064,0.000473064
31,206.471,1.45217,1.06334,0.80345,0.68211,0.62753,0.45498,0.25729,1.33061,1.00476,0.79947,0.000451066,0.000451066,0.000451066
32,213.066,1.44116,1.05093,0.80372,0.69033,0.6254,0.45905,0.25878,1.34466,1.00662,0.79794,0.000429068,0.000429068,0.000429068
33,219.617,1.4399,1.04846,0.8025,0.69927,0.63941,0.46631,0.26127,1.3571,0.98915,0.80086,0.00040707,0.00040707,0.00040707
34,226.178,1.41378,1.04189,0.80247,0.68727,0.63214,0.46004,0.26509,1.30643,0.98647,0.79817,0.000385073,0.000385073,0.000385073
35,232.85,1.39622,1.04355,0.80324,0.69065,0.61707,0.45689,0.26266,1.32471,0.98921,0.79683,0.000363075,0.000363075,0.000363075
36,239.49,1.42036,1.04561,0.80038,0.69996,0.62244,0.45887,0.25776,1.3379,0.99653,0.79687,0.000341077,0.000341077,0.000341077
37,246.145,1.42218,1.04209,0.80315,0.68555,0.63078,0.45855,0.26301,1.31306,0.99002,0.79824,0.000319079,0.000319079,0.000319079
38,252.827,1.41851,1.03722,0.80079,0.70243,0.63975,0.46368,0.26466,1.31579,0.97535,0.79835,0.000297081,0.000297081,0.000297081
39,259.442,1.40557,1.0272,0.80042,0.6951,0.64971,0.46142,0.26525,1.30733,0.98016,0.79695,0.000275084,0.000275084,0.000275084
40,266.081,1.38543,1.02672,0.79904,0.68565,0.63625,0.46319,0.26078,1.33323,0.99314,0.79809,0.000253086,0.000253086,0.000253086
41,284.597,1.33746,1.0301,0.79988,0.67125,0.63176,0.45277,0.25451,1.33814,1.00435,0.79801,0.000231088,0.000231088,0.000231088
42,291.095,1.33086,1.01899,0.80212,0.68434,0.62745,0.45837,0.25618,1.33223,0.9966,0.79804,0.00020909,0.00020909,0.00020909
43,297.386,1.31339,1.00718,0.80098,0.69016,0.63648,0.45774,0.26325,1.30389,0.98095,0.79716,0.000187092,0.000187092,0.000187092
44,303.558,1.30727,1.00057,0.80153,0.68455,0.63588,0.46052,0.25368,1.35606,0.99582,0.79849,0.000165095,0.000165095,0.000165095
45,310.431,1.32307,1.00502,0.80009,0.68577,0.63953,0.46056,0.26298,1.29798,0.98082,0.79652,0.000143097,0.000143097,0.000143097
46,317.33,1.29884,0.99837,0.7984,0.67717,0.63445,0.45731,0.26745,1.29427,0.98374,0.79525,0.000121099,0.000121099,0.000121099
47,323.66,1.28095,0.99057,0.79965,0.69023,0.63323,0.46274,0.27063,1.28319,0.97594,0.79451,9.91012e-05,9.91012e-05,9.91012e-05
48,329.889,1.27719,0.99068,0.79758,0.68783,0.63922,0.46522,0.26674,1.28904,0.97741,0.79532,7.71034e-05,7.71034e-05,7.71034e-05
49,336.374,1.29376,0.99587,0.79917,0.68692,0.64642,0.46151,0.26873,1.28852,0.97775,0.79502,5.51056e-05,5.51056e-05,5.51056e-05
50,343.289,1.25457,0.98305,0.79874,0.68738,0.64744,0.46343,0.27041,1.28021,0.97341,0.79472,3.31078e-05,3.31078e-05,3.31078e-05
