epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2373,1.86923,2.31668,0.86231,0.55193,0.48419,0.30028,0.11599,2.03454,1.43306,0.83877,0.000365585,0.000365585,0.000365585
2,24.3683,1.72982,1.2991,0.82552,0.61883,0.54914,0.38149,0.18703,1.56602,1.15753,0.81134,0.000721348,0.000721348,0.000721348
3,35.5435,1.67076,1.24446,0.81831,0.65528,0.6016,0.43628,0.22628,1.44669,1.08889,0.80881,0.00106244,0.00106244,0.00106244
4,46.6615,1.63825,1.1925,0.81501,0.63727,0.58128,0.43246,0.20477,1.6262,1.11817,0.81544,0.00104501,0.00104501,0.00104501
5,57.7478,1.62544,1.1385,0.8194,0.67695,0.61705,0.45112,0.23527,1.44351,1.04994,0.80236,0.00102301,0.00102301,0.00102301
6,68.875,1.5855,1.12226,0.81249,0.68296,0.61025,0.45713,0.24333,1.43072,1.04529,0.80069,0.00100101,0.00100101,0.00100101
7,79.91,1.52523,1.08346,0.80896,0.65303,0.60121,0.4736,0.2395,1.45403,1.05249,0.80671,0.000979013,0.000979013,0.000979013
8,90.7813,1.49818,1.0721,0.80744,0.69156,0.62283,0.50633,0.266,1.35108,1.00586,0.80035,0.000957015,0.000957015,0.000957015
9,101.625,1.4718,1.06216,0.80613,0.70652,0.62704,0.47663,0.26601,1.31542,0.99583,0.79883,0.000935018,0.000935018,0.000935018
10,112.416,1.42738,1.04917,0.80421,0.65781,0.60739,0.46575,0.25145,1.36558,1.03298,0.79936,0.00091302,0.00091302,0.00091302
11,123.278,1.49789,1.06772,0.80437,0.6555,0.58644,0.45294,0.22184,1.54778,1.0687,0.80881,0.000891022,0.000891022,0.000891022
12,134.004,1.46621,1.05755,0.80561,0.69767,0.62986,0.47645,0.2654,1.34247,0.99944,0.79791,0.000869024,0.000869024,0.000869024
13,144.898,1.42182,1.03714,0.80181,0.66454,0.62685,0.47284,0.26224,1.35369,1.00833,0.79756,0.000847026,0.000847026,0.000847026
14,155.72,1.41514,1.03105,0.80175,0.70321,0.63543,0.4789,0.26529,1.31428,0.98132,0.79994,0.000825029,0.000825029,0.000825029
15,166.618,1.39651,1.01273,0.79844,0.70825,0.64169,0.47707,0.27354,1.28959,0.98105,0.79631,0.000803031,0.000803031,0.000803031
16,177.505,1.38404,1.01198,0.80131,0.56134,0.66287,0.47653,0.27083,1.31828,0.98621,0.79707,0.000781033,0.000781033,0.000781033
17,188.542,1.42043,1.0283,0.80023,0.60422,0.61103,0.4537,0.20405,1.67393,1.04389,0.81001,0.000759035,0.000759035,0.000759035
18,199.326,1.50499,1.05251,0.80376,0.58174,0.66104,0.4839,0.27402,1.34045,0.98269,0.79508,0.000737037,0.000737037,0.000737037
19,210.147,1.40582,1.01418,0.79884,0.6298,0.6686,0.49414,0.28484,1.27627,0.95338,0.7953,0.00071504,0.00071504,0.00071504
20,221.185,1.36127,0.9935,0.79457,0.55765,0.65941,0.48198,0.27813,1.24059,0.97245,0.79174,0.000693042,0.000693042,0.000693042
21,232.141,1.33774,0.9981,0.79764,0.57353,0.65157,0.48308,0.27622,1.27581,0.97435,0.79517,0.000671044,0.000671044,0.000671044
22,243.307,1.34336,0.98731,0.79615,0.57721,0.66052,0.48505,0.2777,1.2477,0.9509,0.79381,0.000649046,0.000649046,0.000649046
23,254.427,1.33103,0.98422,0.79658,0.57238,0.65741,0.48226,0.28292,1.27993,0.96971,0.79365,0.000627048,0.000627048,0.000627048
24,265.673,1.33791,0.9829,0.7963,0.56475,0.65388,0.48602,0.27467,1.31629,0.96097,0.79377,0.000605051,0.000605051,0.000605051
25,277.302,1.30108,0.97705,0.7961,0.56833,0.65458,0.48755,0.29391,1.21222,0.94205,0.79183,0.000583053,0.000583053,0.000583053
26,288.546,1.30146,0.97327,0.79539,0.57828,0.64681,0.48622,0.28504,1.23234,0.95616,0.79339,0.000561055,0.000561055,0.000561055
27,299.709,1.31643,0.97567,0.79384,0.6276,0.66739,0.49326,0.28807,1.21886,0.94433,0.79271,0.000539057,0.000539057,0.000539057
28,310.676,1.29088,0.97381,0.79574,0.57132,0.67103,0.49079,0.29672,1.21298,0.94086,0.79216,0.000517059,0.000517059,0.000517059
29,321.543,1.2984,0.97311,0.79372,0.68159,0.6537,0.49466,0.27916,1.25216,0.95873,0.79239,0.000495062,0.000495062,0.000495062
30,332.335,1.26656,0.96281,0.79347,0.61168,0.6651,0.48887,0.28257,1.238,0.94351,0.79253,0.000473064,0.000473064,0.000473064
31,343.216,1.28652,0.95878,0.79501,0.57611,0.66476,0.48761,0.29751,1.18321,0.93136,0.78983,0.000451066,0.000451066,0.000451066
32,354.156,1.27462,0.95995,0.792,0.62287,0.66346,0.48997,0.29197,1.21612,0.93665,0.79301,0.000429068,0.000429068,0.000429068
33,365.027,1.27436,0.96104,0.79243,0.6255,0.66858,0.49166,0.28915,1.21285,0.94212,0.79236,0.00040707,0.00040707,0.00040707
34,375.905,1.25302,0.95205,0.79401,0.65031,0.6871,0.50763,0.30116,1.1832,0.93521,0.79033,0.000385073,0.000385073,0.000385073
35,386.883,1.24396,0.94677,0.79239,0.67293,0.65493,0.49966,0.28825,1.23731,0.94372,0.79171,0.000363075,0.000363075,0.000363075
36,397.664,1.24302,0.94395,0.79139,0.60278,0.67613,0.50131,0.2965,1.2062,0.9362,0.78892,0.000341077,0.000341077,0.000341077
37,408.474,1.24698,0.94742,0.7905,0.63121,0.67216,0.49987,0.29877,1.17265,0.92578,0.78841,0.000319079,0.000319079,0.000319079
38,419.272,1.23598,0.94323,0.79267,0.59892,0.67736,0.5007,0.30791,1.14501,0.91617,0.7883,0.000297081,0.000297081,0.000297081
39,430.117,1.24379,0.94345,0.78942,0.64446,0.67371,0.5078,0.3024,1.16449,0.92103,0.7885,0.000275084,0.000275084,0.000275084
40,440.892,1.20872,0.93615,0.78975,0.65566,0.66496,0.50734,0.30504,1.15672,0.92097,0.78922,0.000253086,0.000253086,0.000253086
41,463.352,1.16609,0.92873,0.79411,0.69115,0.67166,0.5113,0.30197,1.21471,0.93866,0.79158,0.000231088,0.000231088,0.000231088
42,474.104,1.14736,0.92525,0.7916,0.61477,0.66621,0.49537,0.29514,1.20806,0.93122,0.79091,0.00020909,0.00020909,0.00020909
43,484.814,1.14013,0.92367,0.79059,0.7096,0.6757,0.51682,0.30849,1.15249,0.92142,0.78873,0.000187092,0.000187092,0.000187092
44,495.419,1.14513,0.92102,0.79335,0.67369,0.68175,0.50596,0.30289,1.16347,0.92175,0.78916,0.000165095,0.000165095,0.000165095
45,505.874,1.15739,0.92064,0.78879,0.68455,0.66799,0.50588,0.30332,1.16378,0.92586,0.78855,0.000143097,0.000143097,0.000143097
46,516.365,1.13756,0.91372,0.7887,0.705,0.67646,0.51003,0.3057,1.16618,0.91915,0.78885,0.000121099,0.000121099,0.000121099
47,526.841,1.12932,0.90991,0.78991,0.65361,0.68311,0.50982,0.31185,1.13895,0.91229,0.78735,9.91012e-05,9.91012e-05,9.91012e-05
48,537.466,1.11732,0.90838,0.78811,0.69999,0.67447,0.51592,0.31461,1.14548,0.9103,0.78805,7.71034e-05,7.71034e-05,7.71034e-05
49,548.332,1.12519,0.90484,0.78711,0.70293,0.6784,0.51857,0.31182,1.16569,0.91477,0.7886,5.51056e-05,5.51056e-05,5.51056e-05
50,558.895,1.08971,0.89881,0.78922,0.66458,0.68133,0.51525,0.31445,1.15081,0.91384,0.78777,3.31078e-05,3.31078e-05,3.31078e-05
