epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9534,1.26105,1.73531,0.86839,0.62395,0.743,0.53582,0.3135,1.13147,1.06811,0.84787,0.000369384,0.000369384,0.000369384
2,87.8799,1.16368,1.15474,0.85075,0.6273,0.74426,0.55634,0.32221,1.03967,1.02962,0.83463,0.000725071,0.000725071,0.000725071
3,130.71,1.15567,1.11711,0.84503,0.59803,0.75993,0.54233,0.3341,1.05559,1.03744,0.84124,0.00106609,0.00106609,0.00106609
4,172.302,1.16651,1.1144,0.84582,0.64126,0.79399,0.59361,0.35884,1.03317,0.98979,0.8355,0.00104501,0.00104501,0.00104501
5,213.37,1.11178,1.03585,0.84105,0.69792,0.78909,0.59226,0.36073,0.97998,0.95467,0.82907,0.00102301,0.00102301,0.00102301
6,257.346,1.11538,1.00404,0.83637,0.69269,0.79509,0.60079,0.3612,1.05752,0.94731,0.83628,0.00100101,0.00100101,0.00100101
7,298.36,1.08565,0.98867,0.83782,0.65812,0.79206,0.57436,0.37029,0.9714,0.94873,0.82914,0.000979013,0.000979013,0.000979013
8,339.259,1.07462,0.98302,0.83684,0.70595,0.80629,0.61135,0.37864,0.93787,0.9381,0.82584,0.000957015,0.000957015,0.000957015
9,380.376,1.05409,0.96465,0.82764,0.70015,0.82446,0.60347,0.38055,0.96688,0.93335,0.82436,0.000935018,0.000935018,0.000935018
10,422.187,1.04705,0.96099,0.82977,0.69128,0.82103,0.59331,0.3805,0.93008,0.92237,0.82168,0.00091302,0.00091302,0.00091302
11,464.902,1.0491,0.94367,0.82787,0.70601,0.82652,0.61493,0.38617,0.92596,0.90867,0.82214,0.000891022,0.000891022,0.000891022
12,507.853,1.04632,0.95176,0.83188,0.66856,0.83553,0.61325,0.39365,0.93087,0.9198,0.82236,0.000869024,0.000869024,0.000869024
13,548.811,1.04072,0.94292,0.82793,0.68509,0.82911,0.61216,0.39144,0.91559,0.90805,0.82081,0.000847026,0.000847026,0.000847026
14,589.466,1.00242,0.92681,0.82556,0.73076,0.82414,0.61406,0.3862,0.939,0.90241,0.82146,0.000825029,0.000825029,0.000825029
15,630.178,1.01193,0.92888,0.82497,0.65267,0.81961,0.58934,0.38009,0.91165,0.89979,0.81867,0.000803031,0.000803031,0.000803031
16,670.635,0.99713,0.92317,0.8234,0.66727,0.82198,0.60872,0.38327,0.95469,0.90904,0.82305,0.000781033,0.000781033,0.000781033
17,711.176,1.02104,0.93138,0.82201,0.6875,0.82239,0.59375,0.38427,0.92951,0.90078,0.81984,0.000759035,0.000759035,0.000759035
18,751.548,1.00505,0.92041,0.82181,0.68288,0.82975,0.61643,0.39047,0.94481,0.90574,0.8221,0.000737037,0.000737037,0.000737037
19,792.275,1.01813,0.91703,0.82209,0.67072,0.82639,0.60879,0.39115,0.96885,0.90155,0.8239,0.00071504,0.00071504,0.00071504
20,833.84,1.01411,0.91321,0.82165,0.65746,0.82036,0.61633,0.40193,0.90652,0.89305,0.81919,0.000693042,0.000693042,0.000693042
21,874.627,0.97443,0.90497,0.82113,0.70389,0.8049,0.59916,0.3935,0.89948,0.88639,0.81783,0.000671044,0.000671044,0.000671044
22,915.114,0.98841,0.905,0.81966,0.71314,0.83406,0.61023,0.39205,0.91186,0.88449,0.81763,0.000649046,0.000649046,0.000649046
23,955.667,0.98197,0.90383,0.82112,0.67665,0.83902,0.61117,0.40227,0.8971,0.8857,0.81751,0.000627048,0.000627048,0.000627048
24,996.281,0.98339,0.90488,0.81797,0.6659,0.84105,0.60748,0.3909,0.93088,0.88909,0.81967,0.000605051,0.000605051,0.000605051
25,1036.8,0.97176,0.90256,0.81974,0.6987,0.83218,0.60579,0.39737,0.8862,0.88568,0.81581,0.000583053,0.000583053,0.000583053
26,1077.18,0.96235,0.8933,0.8202,0.67633,0.82358,0.60964,0.40144,0.90476,0.88104,0.8174,0.000561055,0.000561055,0.000561055
27,1117.59,0.98199,0.89607,0.81773,0.69282,0.81566,0.60329,0.40559,0.88528,0.8744,0.81529,0.000539057,0.000539057,0.000539057
28,1158.22,0.94541,0.89164,0.81607,0.67002,0.84233,0.60661,0.39783,0.88245,0.87689,0.81631,0.000517059,0.000517059,0.000517059
29,1199.02,0.97121,0.89562,0.82036,0.67368,0.83848,0.62138,0.39831,0.9317,0.87878,0.82025,0.000495062,0.000495062,0.000495062
30,1239.45,0.95376,0.88842,0.8188,0.60353,0.78436,0.59664,0.40059,0.87584,0.86958,0.81483,0.000473064,0.000473064,0.000473064
31,1280.03,0.95032,0.8858,0.81695,0.62828,0.82799,0.5989,0.39882,0.89375,0.86601,0.81728,0.000451066,0.000451066,0.000451066
32,1320.58,0.94966,0.88412,0.8164,0.67685,0.83665,0.6191,0.40358,0.90284,0.88251,0.81679,0.000429068,0.000429068,0.000429068
33,1361.06,0.94932,0.89078,0.8171,0.69137,0.8329,0.62174,0.40583,0.89469,0.87227,0.8159,0.00040707,0.00040707,0.00040707
34,1401.7,0.95273,0.88723,0.8174,0.67987,0.83113,0.61661,0.4041,0.88083,0.86842,0.81374,0.000385073,0.000385073,0.000385073
35,1442.12,0.94518,0.88128,0.81797,0.6653,0.83659,0.61674,0.40134,0.89338,0.86919,0.81541,0.000363075,0.000363075,0.000363075
36,1482.45,0.93876,0.87913,0.81353,0.69742,0.83024,0.61167,0.40102,0.87056,0.87133,0.81305,0.000341077,0.000341077,0.000341077
37,1522.89,0.92996,0.87781,0.81605,0.67919,0.83542,0.60837,0.40001,0.87709,0.87016,0.81297,0.000319079,0.000319079,0.000319079
38,1563.56,0.9399,0.87911,0.81348,0.69579,0.84015,0.62812,0.41194,0.86496,0.86375,0.81218,0.000297081,0.000297081,0.000297081
39,1604.15,0.92447,0.87246,0.81201,0.65345,0.83212,0.61711,0.39745,0.92221,0.87046,0.81729,0.000275084,0.000275084,0.000275084
40,1644.61,0.91441,0.86967,0.81513,0.66415,0.84537,0.62789,0.41784,0.86191,0.85971,0.81149,0.000253086,0.000253086,0.000253086
41,1696.84,0.9146,0.874,0.81434,0.67726,0.83272,0.6174,0.4038,0.90598,0.87036,0.81467,0.000231088,0.000231088,0.000231088
42,1737.61,0.90021,0.86541,0.81295,0.69431,0.82925,0.6126,0.40626,0.88024,0.86803,0.81308,0.00020909,0.00020909,0.00020909
43,1777.49,0.8972,0.86508,0.81307,0.68607,0.83976,0.62245,0.40471,0.88425,0.86466,0.81283,0.000187092,0.000187092,0.000187092
44,1817.26,0.88937,0.86258,0.81189,0.6903,0.83728,0.61692,0.40071,0.88654,0.86823,0.81335,0.000165095,0.000165095,0.000165095
45,1857.21,0.8986,0.8633,0.81093,0.67635,0.83258,0.62441,0.40667,0.8769,0.86194,0.81227,0.000143097,0.000143097,0.000143097
46,1897.48,0.88112,0.85464,0.80819,0.66408,0.83515,0.60959,0.41084,0.87574,0.862,0.81163,0.000121099,0.000121099,0.000121099
47,1937.39,0.88151,0.85385,0.80981,0.64749,0.82809,0.60562,0.41194,0.87149,0.85899,0.81208,9.91012e-05,9.91012e-05,9.91012e-05
48,1977.02,0.87426,0.85432,0.80732,0.65002,0.83808,0.61446,0.40608,0.87995,0.8651,0.81194,7.71034e-05,7.71034e-05,7.71034e-05
49,2016.58,0.8715,0.85038,0.80616,0.66268,0.83157,0.61964,0.4112,0.88786,0.86285,0.8124,5.51056e-05,5.51056e-05,5.51056e-05
50,2056.25,0.85532,0.84426,0.80901,0.66461,0.84751,0.62285,0.41337,0.88352,0.86009,0.81213,3.31078e-05,3.31078e-05,3.31078e-05
